,Time,Volume,Open,Close,High,Low
0,2022-02-24 04:00:00,41362594,157.94,162.02,162.85,150.88
1,2022-02-25 04:00:00,22510247,162.79,164.6,165.04,160.88
2,2022-02-28 04:00:00,29566097,163.09,164.8,165.41,162.44
3,2022-03-01 04:00:00,16278478,165.26,163.4,165.74,161.98
4,2022-03-03 04:00:00,17856028,167.82,166.06,168.91,165.56
5,2022-03-09 04:00:00,22748943,161.19,162.4,163.41,159.41
6,2022-03-10 04:00:00,23637859,160.35,157.97,160.4,155.99
7,2022-03-11 04:00:00,23815592,159.89,154.67,160.09,154.41
8,2022-03-14 04:00:00,25700892,151.79,150.71,154.12,150.11
9,2022-03-15 04:00:00,24604849,151.25,154.68,155.57,150.33
10,2022-03-16 04:00:00,25712950,157.74,159.22,161.5,154.46
11,2022-03-17 04:00:00,20729325,158.57,159.75,161.0,157.63
12,2022-03-18 04:00:00,49790995,159.65,164.15,164.51,159.02
13,2022-03-21 04:00:00,21894572,164.11,165.23,166.35,163.02
14,2022-03-22 04:00:00,18877906,165.65,168.9,169.42,164.91
15,2022-03-23 04:00:00,23046401,167.96,170.28,172.64,167.6
16,2022-03-24 04:00:00,19345422,171.55,173.78,174.2,170.21
17,2022-03-25 04:00:00,16336078,174.65,174.75,175.28,172.75
18,2022-03-28 04:00:00,18322583,172.93,175.45,175.75,171.8
19,2022-03-29 04:00:00,21494469,175.84,178.67,179.0,175.62
20,2022-03-30 04:00:00,19534142,178.23,177.9,179.61,176.7
21,2022-03-31 04:00:00,31457924,177.82,174.77,178.53,174.4
22,2022-04-01 04:00:00,17307151,174.79,174.04,175.0,171.95
23,2022-04-04 04:00:00,16347428,174.81,178.25,178.55,174.15
24,2022-04-05 04:00:00,15921961,178.08,175.1,178.5,174.42
25,2022-04-06 04:00:00,21721651,172.69,171.61,173.63,170.13
26,2022-04-07 04:00:00,15156076,172.2,171.85,173.34,169.86
27,2022-04-08 04:00:00,16806241,172.37,169.76,172.69,169.22
28,2022-04-11 04:00:00,17142556,168.3,165.74,169.03,165.39
29,2022-04-12 04:00:00,15365358,165.56,167.66,169.87,165.41
30,2022-04-13 04:00:00,14381867,169.07,170.29,171.04,166.78
31,2022-04-14 04:00:00,18853698,170.3,165.23,171.27,165.04
32,2022-04-18 04:00:00,13888134,164.78,165.84,166.59,163.62
33,2022-04-19 04:00:00,16098463,164.9,166.68,167.82,163.91
34,2022-04-20 04:00:00,17640881,167.69,167.86,169.13,166.11
35,2022-04-21 04:00:00,19022631,169.16,166.34,171.53,165.91
36,2022-04-22 04:00:00,21606108,166.31,161.36,167.87,161.0
37,2022-04-25 04:00:00,22135052,159.46,162.88,163.3,158.46
38,2022-04-26 04:00:00,22393842,162.51,156.0,162.68,153.84
39,2022-04-27 04:00:00,19119737,156.2,158.53,159.78,155.07
40,2022-04-28 04:00:00,28205927,160.47,159.57,170.0,153.5
41,2022-04-29 04:00:00,31727258,160.11,157.86,166.2,157.12
42,2022-05-02 04:00:00,27582030,157.44,157.51,158.3,153.28
43,2022-05-03 04:00:00,16504232,157.87,159.63,160.65,156.31
44,2022-05-04 04:00:00,23387938,160.1,165.85,166.48,159.25
45,2022-05-05 04:00:00,33582826,164.79,157.35,165.23,154.95
46,2022-05-06 04:00:00,27896594,155.8,156.9,159.44,154.18
47,2022-05-09 04:00:00,30334355,152.95,152.5,155.83,151.5
48,2022-05-10 04:00:00,27311816,153.45,154.31,156.74,152.93
49,2022-05-11 04:00:00,33756508,156.31,146.46,156.58,145.1
50,2022-05-12 04:00:00,41726913,144.7,142.68,146.19,138.8
51,2022-05-13 04:00:00,26008428,144.59,147.13,148.1,143.11
52,2022-05-14 04:00:00,12,146.77,146.73,146.77,146.66
53,2022-05-16 04:00:00,17411939,146.31,145.57,147.51,144.18
54,2022-05-17 04:00:00,18476874,148.08,149.56,149.77,146.69
55,2022-05-18 04:00:00,27929760,147.47,141.02,147.9,139.94
56,2022-05-19 04:00:00,28135492,140.18,137.83,141.66,136.6
57,2022-05-20 04:00:00,30517120,138.9,137.21,140.48,132.61
58,2022-05-21 04:00:00,13,137.09,137.01,137.52,137.01
59,2022-05-23 04:00:00,25305102,138.54,141.1,143.44,137.51
60,2022-05-24 04:00:00,20815067,141.41,141.27,141.97,137.33
61,2022-05-25 04:00:00,20141792,139.14,140.02,141.78,138.08
62,2022-05-26 04:00:00,21739378,139.65,143.83,144.34,137.14
63,2022-05-27 04:00:00,23051897,144.09,149.9,149.95,143.66
64,2022-05-28 04:00:00,590,149.4,149.74,150.22,149.39
65,2022-05-29 04:00:00,251,149.58,149.97,150.21,149.57
66,2022-05-31 04:00:00,30811635,149.34,149.12,150.66,146.84
67,2022-06-01 04:00:00,15353664,148.82,148.6,151.74,147.68
68,2022-06-02 04:00:00,17048852,149.54,151.45,151.47,146.87
69,2022-06-03 04:00:00,20116855,148.47,145.2,148.93,144.46
70,2022-06-04 04:00:00,1717,145.15,143.06,145.41,142.64
71,2022-06-05 04:00:00,1918,143.52,144.41,148.23,143.17
72,2022-06-06 04:00:00,12852137,147.4,146.1,148.56,144.9
73,2022-06-07 04:00:00,14676480,144.57,148.45,148.99,143.8
74,2022-06-08 04:00:00,12009265,148.42,147.96,149.86,147.46
75,2022-06-09 04:00:00,16386241,148.87,142.9,149.23,140.94
76,2022-06-10 04:00:00,25310720,142.85,137.49,143.32,137.0
77,2022-06-11 04:00:00,2580,137.36,138.69,140.06,136.73
78,2022-06-12 04:00:00,913,138.67,137.98,139.0,137.85
79,2022-06-13 04:00:00,30585063,133.17,132.69,135.2,131.44
80,2022-06-14 04:00:00,20062695,132.8,133.26,133.89,131.48
81,2022-06-15 04:00:00,23440400,133.81,136.27,137.33,132.16
82,2022-06-16 04:00:00,28805116,132.04,130.5,133.48,129.08
83,2022-06-17 04:00:00,50407360,131.69,131.55,133.07,129.76
84,2022-06-18 04:00:00,1583,131.28,130.63,131.98,129.49
85,2022-06-19 04:00:00,886,130.67,130.63,132.14,130.1
86,2022-06-20 04:00:00,4692,130.62,132.15,133.14,128.5
87,2022-06-21 04:00:00,21136291,133.41,135.63,137.06,133.2
88,2022-06-22 04:00:00,17187921,133.85,134.85,137.76,132.6
89,2022-06-23 04:00:00,15612668,136.85,138.0,138.59,135.63
90,2022-06-24 04:00:00,32564932,139.67,141.58,141.89,139.31
91,2022-06-25 04:00:00,503,141.97,141.08,142.09,140.83
92,2022-06-26 04:00:00,519,140.98,142.87,142.88,140.98
93,2022-06-27 04:00:00,16304634,142.62,141.78,143.49,140.96
94,2022-06-28 04:00:00,18846965,142.59,137.56,143.42,137.31
95,2022-06-29 04:00:00,14542726,137.05,139.16,140.67,136.67
96,2022-06-30 04:00:00,29321672,136.97,136.48,138.37,133.78
97,2022-07-01 04:00:00,16847580,136.26,138.94,139.23,135.5
98,2022-07-02 04:00:00,230,138.64,138.62,139.14,138.01
99,2022-07-03 04:00:00,215,138.64,138.57,139.16,138.11
100,2022-07-04 04:00:00,1786,139.13,140.06,141.56,138.19
101,2022-07-05 04:00:00,17477915,138.32,141.66,141.78,136.93
102,2022-07-06 04:00:00,16044321,141.03,142.95,144.12,139.9
103,2022-07-07 04:00:00,16612122,143.21,145.98,146.55,142.95
104,2022-07-08 04:00:00,12649747,145.71,146.96,147.55,144.25
105,2022-07-09 04:00:00,217,146.74,146.11,147.29,146.11
106,2022-07-10 04:00:00,287,146.06,146.83,147.14,145.76
107,2022-07-11 04:00:00,14223572,146.0,144.86,146.64,143.78
108,2022-07-12 04:00:00,18324764,144.78,145.77,148.45,144.78
109,2022-07-13 04:00:00,17135709,146.25,144.81,147.95,142.14
110,2022-07-14 04:00:00,16192193,143.9,149.05,149.08,143.25
111,2022-07-15 04:00:00,22954119,148.99,150.0,150.86,148.0
112,2022-07-16 04:00:00,363,150.49,150.67,150.67,149.2
113,2022-07-17 04:00:00,610,150.14,150.01,151.9,150.01
114,2022-07-18 04:00:00,16869833,151.62,146.68,151.65,146.3
115,2022-07-19 04:00:00,21447319,147.57,151.65,152.11,146.92
116,2022-07-20 04:00:00,15577487,151.17,152.24,153.72,150.37
117,2022-07-21 04:00:00,14589968,153.27,154.84,155.56,151.94
118,2022-07-22 04:00:00,14701977,155.5,153.92,156.28,153.41
119,2022-07-23 04:00:00,67,153.77,154.3,154.44,153.56
120,2022-07-24 04:00:00,195,154.31,152.57,154.37,152.5
121,2022-07-25 04:00:00,12404760,155.09,152.57,155.18,152.2
122,2022-07-26 04:00:00,14004414,152.27,152.4,153.08,150.8
123,2022-07-27 04:00:00,21661657,152.83,156.31,157.33,152.17
124,2022-07-28 04:00:00,18798098,156.07,162.39,164.14,154.41
125,2022-07-29 04:00:00,26963397,161.04,162.19,163.63,159.5
126,2022-07-30 04:00:00,877,152.53,160.52,162.8,152.53
127,2022-07-31 04:00:00,664,160.53,160.38,161.92,159.82
128,2022-08-01 04:00:00,15786160,162.05,161.42,163.59,160.83
129,2022-08-02 04:00:00,13956960,160.25,160.24,162.41,159.63
130,2022-08-03 04:00:00,21019074,161.28,165.68,166.6,160.7
131,2022-08-04 04:00:00,13471841,166.04,165.73,167.19,164.43
132,2022-08-05 04:00:00,14835778,165.48,165.15,165.85,162.79
133,2022-08-06 04:00:00,361,164.96,163.82,166.16,163.82
134,2022-08-07 04:00:00,872,164.5,162.82,164.68,161.67
135,2022-08-08 04:00:00,12451742,166.22,165.04,167.8,164.2
136,2022-08-09 04:00:00,15970827,164.02,165.03,165.81,163.46
137,2022-08-10 04:00:00,19274523,164.46,168.85,169.31,164.08
138,2022-08-11 04:00:00,14296412,170.69,168.56,176.69,167.8
139,2022-08-12 04:00:00,19388968,168.88,171.78,172.4,168.41
140,2022-08-13 04:00:00,801,172.53,172.33,173.45,170.77
141,2022-08-14 04:00:00,412,171.62,171.57,172.75,170.82
142,2022-08-15 04:00:00,12983283,171.69,173.04,173.39,170.7
143,2022-08-16 04:00:00,13412137,172.96,173.63,174.08,171.67
144,2022-08-17 04:00:00,17995300,173.78,173.6,176.15,172.16
145,2022-08-18 04:00:00,15349369,173.29,174.03,174.89,172.82
146,2022-08-19 04:00:00,20505816,173.16,171.0,173.73,170.82
147,2022-08-20 04:00:00,952,170.43,170.53,171.36,168.7
148,2022-08-21 04:00:00,475,169.79,170.81,171.36,169.03
149,2022-08-22 04:00:00,19900669,169.99,167.74,170.3,167.14
150,2022-08-23 04:00:00,14329836,166.69,167.05,168.7,166.28
151,2022-08-24 04:00:00,13890374,166.98,167.98,168.39,166.24
152,2022-08-25 04:00:00,14970419,169.58,170.06,173.7,168.23
153,2022-08-26 04:00:00,25300032,169.98,162.56,171.13,162.1
154,2022-08-27 04:00:00,663,162.22,164.03,164.63,161.91
155,2022-08-28 04:00:00,829,164.04,162.83,164.08,160.28
156,2022-08-29 04:00:00,17180945,161.46,161.24,162.91,159.83
157,2022-08-30 04:00:00,16632756,162.39,159.03,163.76,157.73
158,2022-08-31 04:00:00,29376147,160.17,156.55,160.57,156.54
159,2022-09-01 04:00:00,18059818,155.92,158.32,158.69,152.2
160,2022-09-02 04:00:00,19456157,157.85,155.8,160.36,154.96
161,2022-09-03 04:00:00,390,155.48,155.92,156.19,155.04
162,2022-09-04 04:00:00,196,155.93,156.09,156.09,154.89
163,2022-09-05 04:00:00,2083,155.46,156.83,157.98,155.18
164,2022-09-06 04:00:00,19647446,156.69,154.7,157.57,153.73
165,2022-09-07 04:00:00,19673667,154.74,155.81,156.66,153.61
166,2022-09-08 04:00:00,20527233,156.01,154.31,156.96,152.68
167,2022-09-09 04:00:00,16211917,154.72,157.47,157.8,154.72
168,2022-09-10 04:00:00,300,157.05,158.46,158.61,156.97
169,2022-09-11 04:00:00,232,157.81,156.94,158.44,156.94
170,2022-09-12 04:00:00,23452293,158.41,163.71,164.26,157.77
171,2022-09-13 04:00:00,31829409,164.1,154.2,164.9,153.38
172,2022-09-14 04:00:00,22053626,154.71,155.8,158.35,153.25
173,2022-09-15 04:00:00,20809555,155.63,151.32,156.0,151.01
174,2022-09-16 04:00:00,76435623,150.81,151.07,151.51,148.3
175,2022-09-17 04:00:00,513,150.38,150.89,152.34,150.35
176,2022-09-18 04:00:00,291,150.88,151.03,151.62,150.16
177,2022-09-19 04:00:00,18973063,149.83,154.84,154.91,148.74
178,2022-09-20 04:00:00,21525526,154.75,156.75,158.08,153.09
179,2022-09-21 04:00:00,22671813,156.27,152.68,158.74,152.68
180,2022-09-22 04:00:00,20103717,153.4,152.55,154.79,150.92
181,2022-09-23 04:00:00,21587696,152.01,150.76,152.51,148.56
182,2022-09-24 04:00:00,1035,150.11,149.29,150.69,147.89
183,2022-09-25 04:00:00,454,149.35,148.84,149.47,148.19
184,2022-09-26 04:00:00,21936496,149.0,150.62,153.77,148.85
185,2022-09-27 04:00:00,21173421,152.43,151.88,154.69,149.95
186,2022-09-28 04:00:00,32530505,150.04,149.63,150.64,144.84
187,2022-09-29 04:00:00,29575495,147.92,142.2,148.72,140.68
188,2022-09-30 04:00:00,37085692,142.61,137.65,143.5,137.07
189,2022-10-03 04:00:00,26820390,137.42,142.46,143.07,136.49
190,2022-10-04 04:00:00,22751083,144.35,145.69,146.22,144.27
191,2022-10-05 04:00:00,16751448,146.03,146.3,147.38,143.01
192,2022-10-06 04:00:00,15758478,146.56,144.71,147.54,144.31
193,2022-10-07 04:00:00,24319736,144.66,139.92,145.23,139.45
194,2022-10-10 04:00:00,18377629,138.59,140.64,141.89,138.58
195,2022-10-11 04:00:00,18449996,139.59,139.13,141.34,138.22
196,2022-10-12 04:00:00,17797523,140.0,138.51,140.64,138.16
197,2022-10-13 04:00:00,31220743,138.53,142.61,143.59,133.7
198,2022-10-14 04:00:00,25584658,143.71,138.14,144.66,138.09
199,2022-10-15 04:00:00,76,137.94,137.57,138.5,137.57
200,2022-10-16 04:00:00,59,137.54,137.13,137.95,137.13
201,2022-10-17 04:00:00,21450535,139.23,143.0,143.1,139.21
202,2022-10-18 04:00:00,21923378,144.68,144.43,146.71,140.62
203,2022-10-19 04:00:00,14674859,143.76,143.64,144.95,141.36
204,2022-10-20 04:00:00,16327699,143.03,142.77,145.88,142.11
205,2022-10-21 04:00:00,23954333,142.6,147.64,147.84,141.59
206,2022-10-22 04:00:00,84,147.77,146.72,147.8,146.72
207,2022-10-23 04:00:00,67,146.67,146.08,147.24,146.08
208,2022-10-24 04:00:00,19046295,147.54,149.53,150.22,145.65
209,2022-10-25 04:00:00,18557713,149.51,150.9,152.5,148.5
210,2022-10-26 04:00:00,22854297,150.92,149.39,151.99,148.04
211,2022-10-27 04:00:00,25323260,149.36,146.09,149.76,136.25
212,2022-10-28 04:00:00,34160924,145.01,155.82,157.5,144.5
213,2022-10-29 04:00:00,338,156.12,154.9,156.12,154.33
214,2022-10-30 04:00:00,78,154.88,154.52,155.35,154.41
215,2022-10-31 04:00:00,24058274,156.48,153.28,156.48,151.92
216,2022-11-01 04:00:00,16470972,154.2,150.43,155.66,149.13
217,2022-11-02 04:00:00,25149659,151.59,144.41,153.0,144.1
218,2022-11-03 04:00:00,22274169,147.0,137.81,147.0,137.44
219,2022-11-04 04:00:00,30985667,138.03,138.23,142.67,134.39
220,2022-11-05 04:00:00,35,137.96,138.61,138.74,137.75
221,2022-11-06 04:00:00,248,137.76,138.95,139.89,137.65
222,2022-11-07 04:00:00,18065946,136.58,138.88,139.59,135.43
223,2022-11-08 04:00:00,17906924,138.05,139.53,141.43,137.48
224,2022-11-09 04:00:00,19595992,139.5,134.84,140.58,134.6
225,2022-11-10 04:00:00,36725154,136.72,147.3,147.58,135.08
226,2022-11-11 04:00:00,22641585,147.7,149.48,150.01,144.38
227,2022-11-12 04:00:00,257,149.22,148.69,150.26,148.06
228,2022-11-13 04:00:00,81,148.07,148.21,148.99,148.07
229,2022-11-14 04:00:00,17010190,147.59,148.52,150.46,147.43
230,2022-11-15 04:00:00,19696189,149.25,149.96,153.59,148.57
231,2022-11-16 04:00:00,14687538,149.63,148.78,150.6,147.29
232,2022-11-17 04:00:00,16184459,149.03,151.07,151.48,145.66
233,2022-11-18 04:00:00,17185303,150.16,151.05,152.64,149.92
234,2022-11-19 04:00:00,93,150.72,150.53,151.49,149.78
235,2022-11-20 04:00:00,46,149.74,149.63,150.47,149.6
236,2022-11-21 04:00:00,12597225,149.75,148.06,151.27,147.72
237,2022-11-22 04:00:00,12929179,147.57,150.06,150.38,146.93
238,2022-11-23 04:00:00,10506947,148.53,151.14,151.82,148.53
239,2022-11-24 04:00:00,452,150.67,150.21,151.42,148.96
240,2022-11-25 04:00:00,7783615,149.55,148.11,151.36,147.12
241,2022-11-26 04:00:00,32,148.5,147.59,148.5,147.57
242,2022-11-27 04:00:00,124,147.44,147.66,147.81,146.77
243,2022-11-28 04:00:00,17520347,148.07,144.4,148.07,143.39
244,2022-11-29 04:00:00,17307105,144.66,141.19,145.55,140.36
245,2022-11-30 04:00:00,34124802,141.57,148.09,148.21,140.56
246,2022-12-01 04:00:00,15725690,147.99,148.23,149.14,146.35
247,2022-12-02 04:00:00,4911995,147.21,148.0,148.57,145.02
248,2022-12-03 04:00:00,124,147.43,146.94,147.55,146.49
249,2022-12-04 04:00:00,22,147.31,146.37,147.33,146.37
250,2022-12-05 04:00:00,16275315,146.5,146.78,150.91,145.78
251,2022-12-06 04:00:00,16148104,146.44,142.99,149.0,141.92
252,2022-12-07 04:00:00,17469782,142.99,141.03,143.37,140.01
253,2022-12-08 04:00:00,14499124,140.9,142.74,143.52,140.59
254,2022-12-09 04:00:00,18415947,143.23,141.99,145.56,140.9
255,2022-12-10 04:00:00,17,142.69,141.6,142.69,141.6
256,2022-12-11 04:00:00,114,141.54,142.15,143.13,141.45
257,2022-12-12 04:00:00,15640680,141.12,144.32,144.53,141.07
258,2022-12-13 04:00:00,22447002,144.72,145.44,150.66,144.24
259,2022-12-14 04:00:00,20254602,144.56,143.37,146.66,141.17
260,2022-12-15 04:00:00,24664106,143.51,136.33,143.51,136.03
261,2022-12-16 04:00:00,74051124,136.95,134.34,137.64,133.73
262,2022-12-17 04:00:00,111,133.96,134.76,135.06,133.67
263,2022-12-18 04:00:00,76,133.67,133.24,134.82,133.24
264,2022-12-19 04:00:00,19358371,133.0,132.07,135.77,131.33
265,2022-12-20 04:00:00,17940357,131.92,132.74,133.24,129.89
266,2022-12-21 04:00:00,19476446,133.34,135.6,136.8,132.57
267,2022-12-22 04:00:00,19536551,135.22,132.13,136.16,130.3
268,2022-12-23 04:00:00,12189770,132.99,131.77,133.39,129.64
269,2022-12-24 04:00:00,88,131.32,131.59,132.61,131.3
270,2022-12-25 04:00:00,72,131.54,131.17,132.35,131.15
271,2022-12-27 04:00:00,14670184,131.65,129.95,133.19,128.72
272,2022-12-28 04:00:00,17226850,129.37,126.1,131.02,125.87
273,2022-12-29 04:00:00,16395362,126.63,129.48,130.48,126.4
274,2022-12-30 04:00:00,19669831,129.0,129.95,130.05,127.43
