Time,Time,Volume,Open,Close,High,Low
2022-05-04 11:00:00,2022-05-04 11:00:00,3061,300.33,299.64,300.6,299.14
2022-05-04 12:00:00,2022-05-04 12:00:00,46373,299.67,298.98,299.97,298.74
2022-05-04 13:00:00,2022-05-04 13:00:00,1590555,298.89,296.85,302.31,296.76
2022-05-04 14:00:00,2022-05-04 14:00:00,1937418,296.83,292.71,297.16,292.14
2022-05-04 15:00:00,2022-05-04 15:00:00,999527,292.65,295.9,296.84,292.28
2022-05-04 16:00:00,2022-05-04 16:00:00,1366309,295.96,301.72,301.9,294.97
2022-05-04 17:00:00,2022-05-04 17:00:00,1236042,301.79,302.89,303.83,300.5
2022-05-04 18:00:00,2022-05-04 18:00:00,3657639,302.8,305.68,306.24,294.91
2022-05-04 19:00:00,2022-05-04 19:00:00,4747085,305.8,314.54,315.25,305.36
2022-05-04 20:00:00,2022-05-04 20:00:00,2746867,314.54,312.89,314.82,312.51
2022-05-04 21:00:00,2022-05-04 21:00:00,18867,312.9,313.17,313.34,312.71
2022-05-04 22:00:00,2022-05-04 22:00:00,15294,313.26,313.13,313.82,313.13
2022-05-05 11:00:00,2022-05-05 11:00:00,3630,311.52,312.18,313.09,311.45
2022-05-05 12:00:00,2022-05-05 12:00:00,144264,312.51,311.82,313.7,311.54
2022-05-05 13:00:00,2022-05-05 13:00:00,2704000,311.78,304.9,312.1,303.44
2022-05-05 14:00:00,2022-05-05 14:00:00,3919218,304.9,296.77,304.93,293.87
2022-05-05 15:00:00,2022-05-05 15:00:00,3012145,296.8,289.78,296.8,289.41
2022-05-05 16:00:00,2022-05-05 16:00:00,2214364,289.73,291.01,292.99,288.3
2022-05-05 17:00:00,2022-05-05 17:00:00,1723924,291.06,288.98,293.21,288.21
2022-05-05 18:00:00,2022-05-05 18:00:00,1556882,288.97,288.39,290.93,287.48
2022-05-05 19:00:00,2022-05-05 19:00:00,4171224,288.33,288.19,288.84,283.04
2022-05-05 20:00:00,2022-05-05 20:00:00,2825609,288.18,289.98,290.07,287.78
2022-05-05 21:00:00,2022-05-05 21:00:00,19585,289.98,288.98,290.19,288.79
2022-05-05 22:00:00,2022-05-05 22:00:00,8406,288.86,287.53,289.41,287.53
2022-05-06 11:00:00,2022-05-06 11:00:00,3476,287.26,288.17,288.26,286.76
2022-05-06 12:00:00,2022-05-06 12:00:00,167927,288.16,287.91,291.14,287.69
2022-05-06 13:00:00,2022-05-06 13:00:00,3858233,287.85,281.26,293.66,278.21
2022-05-06 14:00:00,2022-05-06 14:00:00,3709909,281.31,291.3,292.47,280.83
2022-05-06 15:00:00,2022-05-06 15:00:00,2282697,291.22,287.43,292.99,287.19
2022-05-06 16:00:00,2022-05-06 16:00:00,1329039,287.33,289.63,291.06,286.56
2022-05-06 17:00:00,2022-05-06 17:00:00,1117000,289.74,284.46,290.07,284.17
2022-05-06 18:00:00,2022-05-06 18:00:00,1393282,284.42,283.93,286.26,282.67
2022-05-06 19:00:00,2022-05-06 19:00:00,2225761,283.9,285.6,287.48,282.68
2022-05-06 20:00:00,2022-05-06 20:00:00,1169876,285.71,285.39,285.71,283.8
2022-05-06 21:00:00,2022-05-06 21:00:00,12897,285.38,285.46,285.58,284.46
2022-05-06 22:00:00,2022-05-06 22:00:00,5788,285.51,285.28,285.62,285.22
2022-05-09 11:00:00,2022-05-09 11:00:00,13379,270.9,273.08,273.51,269.02
2022-05-09 12:00:00,2022-05-09 12:00:00,219545,272.91,274.1,275.87,271.99
2022-05-09 13:00:00,2022-05-09 13:00:00,3231091,274.0,275.45,279.05,271.26
2022-05-09 14:00:00,2022-05-09 14:00:00,3406027,275.45,265.78,276.34,265.72
2022-05-09 15:00:00,2022-05-09 15:00:00,3145288,265.73,269.04,269.89,263.12
2022-05-09 16:00:00,2022-05-09 16:00:00,1558764,268.96,266.73,271.67,266.29
2022-05-09 17:00:00,2022-05-09 17:00:00,1122303,266.64,265.41,267.46,264.48
2022-05-09 18:00:00,2022-05-09 18:00:00,1664709,265.39,264.89,265.98,262.23
2022-05-09 19:00:00,2022-05-09 19:00:00,3605212,264.85,259.86,266.42,257.77
2022-05-09 20:00:00,2022-05-09 20:00:00,2138827,259.74,259.54,261.53,259.03
2022-05-09 21:00:00,2022-05-09 21:00:00,54673,259.55,258.82,260.01,257.73
2022-05-09 22:00:00,2022-05-09 22:00:00,29152,258.82,260.38,260.63,258.82
2022-05-10 11:00:00,2022-05-10 11:00:00,9212,262.56,264.31,264.59,262.1
2022-05-10 12:00:00,2022-05-10 12:00:00,322612,264.04,268.87,269.92,264.02
2022-05-10 13:00:00,2022-05-10 13:00:00,3469218,268.94,267.15,272.33,262.05
2022-05-10 14:00:00,2022-05-10 14:00:00,3061715,267.18,260.81,271.85,259.82
2022-05-10 15:00:00,2022-05-10 15:00:00,2903648,260.76,260.23,262.17,255.5
2022-05-10 16:00:00,2022-05-10 16:00:00,1584609,260.14,259.65,263.24,258.12
2022-05-10 17:00:00,2022-05-10 17:00:00,1797691,259.55,268.88,269.77,258.99
2022-05-10 18:00:00,2022-05-10 18:00:00,1347839,268.88,265.85,269.25,264.2
2022-05-10 19:00:00,2022-05-10 19:00:00,2253461,265.82,264.02,267.89,261.03
2022-05-10 20:00:00,2022-05-10 20:00:00,1497742,264.02,262.68,265.3,261.72
2022-05-10 21:00:00,2022-05-10 21:00:00,9939,262.52,263.01,263.65,262.02
2022-05-10 22:00:00,2022-05-10 22:00:00,8561,263.18,263.37,263.6,263.01
2022-05-11 11:00:00,2022-05-11 11:00:00,6642,268.63,268.53,269.28,268.22
2022-05-11 12:00:00,2022-05-11 12:00:00,682379,268.54,257.64,268.95,256.86
2022-05-11 13:00:00,2022-05-11 13:00:00,3556658,257.77,261.83,267.23,253.44
2022-05-11 14:00:00,2022-05-11 14:00:00,2943588,261.66,259.08,265.5,258.36
2022-05-11 15:00:00,2022-05-11 15:00:00,1728639,259.0,258.04,261.22,256.05
2022-05-11 16:00:00,2022-05-11 16:00:00,2064079,257.96,251.9,258.72,251.34
2022-05-11 17:00:00,2022-05-11 17:00:00,2816503,251.83,244.68,252.23,244.32
2022-05-11 18:00:00,2022-05-11 18:00:00,1959967,244.73,245.3,249.22,244.48
2022-05-11 19:00:00,2022-05-11 19:00:00,4140627,245.25,242.34,245.49,239.91
2022-05-11 20:00:00,2022-05-11 20:00:00,2044670,242.35,243.57,245.85,241.91
2022-05-11 21:00:00,2022-05-11 21:00:00,45415,243.6,243.54,243.64,241.23
2022-05-11 22:00:00,2022-05-11 22:00:00,16097,242.95,242.55,243.54,241.23
2022-05-12 11:00:00,2022-05-12 11:00:00,9248,236.8,235.03,237.1,234.63
2022-05-12 12:00:00,2022-05-12 12:00:00,928061,234.76,231.49,235.15,230.06
2022-05-12 13:00:00,2022-05-12 13:00:00,8452142,231.49,231.63,237.42,224.4
2022-05-12 14:00:00,2022-05-12 14:00:00,6242870,231.43,249.22,250.41,227.73
2022-05-12 15:00:00,2022-05-12 15:00:00,4152448,249.34,238.51,250.69,238.11
2022-05-12 16:00:00,2022-05-12 16:00:00,3495267,238.51,240.57,244.06,234.73
2022-05-12 17:00:00,2022-05-12 17:00:00,2117439,240.56,235.09,242.05,232.82
2022-05-12 18:00:00,2022-05-12 18:00:00,1578500,235.03,235.19,237.11,233.55
2022-05-12 19:00:00,2022-05-12 19:00:00,3622200,235.05,240.24,241.35,233.33
2022-05-12 20:00:00,2022-05-12 20:00:00,1310021,240.24,238.37,240.57,237.69
2022-05-12 21:00:00,2022-05-12 21:00:00,54088,238.32,241.82,242.55,238.05
2022-05-12 22:00:00,2022-05-12 22:00:00,5742,241.56,242.05,242.35,241.23
2022-05-13 11:00:00,2022-05-13 11:00:00,22855,255.79,252.47,257.5,251.96
2022-05-13 12:00:00,2022-05-13 12:00:00,481885,252.85,256.41,258.62,252.45
2022-05-13 13:00:00,2022-05-13 13:00:00,4452124,256.41,253.0,257.22,248.01
2022-05-13 14:00:00,2022-05-13 14:00:00,2945433,253.13,253.59,256.21,250.86
2022-05-13 15:00:00,2022-05-13 15:00:00,1661464,253.62,254.12,254.68,252.14
2022-05-13 16:00:00,2022-05-13 16:00:00,2189339,254.07,257.19,259.83,253.68
2022-05-13 17:00:00,2022-05-13 17:00:00,1340127,257.18,253.75,258.1,252.96
2022-05-13 18:00:00,2022-05-13 18:00:00,1849439,253.74,253.73,253.87,250.18
2022-05-13 19:00:00,2022-05-13 19:00:00,2570300,253.73,253.96,255.88,251.59
2022-05-13 20:00:00,2022-05-13 20:00:00,1817748,253.96,254.27,254.6,253.87
2022-05-13 21:00:00,2022-05-13 21:00:00,33655,254.23,254.86,255.42,253.97
2022-05-13 22:00:00,2022-05-13 22:00:00,13570,254.76,254.93,255.15,254.76
2022-05-14 10:00:00,2022-05-14 10:00:00,6,253.72,253.66,253.72,253.66
2022-05-16 11:00:00,2022-05-16 11:00:00,3300,253.57,254.02,254.1,253.11
2022-05-16 12:00:00,2022-05-16 12:00:00,118815,253.93,254.08,255.65,253.14
2022-05-16 13:00:00,2022-05-16 13:00:00,2678339,254.08,248.66,255.01,245.81
2022-05-16 14:00:00,2022-05-16 14:00:00,3099639,248.65,242.22,254.03,242.09
2022-05-16 15:00:00,2022-05-16 15:00:00,2081100,242.22,245.19,245.81,241.56
2022-05-16 16:00:00,2022-05-16 16:00:00,1322542,245.26,240.88,246.13,240.28
2022-05-16 17:00:00,2022-05-16 17:00:00,1630470,240.78,240.64,243.15,237.3
2022-05-16 18:00:00,2022-05-16 18:00:00,1376633,240.71,243.09,244.55,239.43
2022-05-16 19:00:00,2022-05-16 19:00:00,2302006,243.12,239.01,243.18,237.31
2022-05-16 20:00:00,2022-05-16 20:00:00,1212458,239.04,238.67,239.22,238.26
2022-05-16 21:00:00,2022-05-16 21:00:00,16994,238.67,238.67,238.87,238.38
2022-05-16 22:00:00,2022-05-16 22:00:00,12091,238.72,239.12,239.42,238.72
2022-05-17 11:00:00,2022-05-17 11:00:00,7627,245.36,245.39,245.47,244.53
2022-05-17 12:00:00,2022-05-17 12:00:00,187958,245.48,244.98,245.77,243.34
2022-05-17 13:00:00,2022-05-17 13:00:00,3233676,245.01,246.51,250.43,244.96
2022-05-17 14:00:00,2022-05-17 14:00:00,2344812,246.51,241.88,248.64,240.52
2022-05-17 15:00:00,2022-05-17 15:00:00,2195227,241.78,249.16,250.06,241.29
2022-05-17 16:00:00,2022-05-17 16:00:00,1672355,249.24,246.52,250.73,246.35
2022-05-17 17:00:00,2022-05-17 17:00:00,1260615,246.57,249.28,251.01,246.05
2022-05-17 18:00:00,2022-05-17 18:00:00,2194967,249.33,248.52,252.29,245.78
2022-05-17 19:00:00,2022-05-17 19:00:00,2037794,248.59,251.42,251.59,248.36
2022-05-17 20:00:00,2022-05-17 20:00:00,1477864,251.42,252.11,252.12,250.48
2022-05-17 21:00:00,2022-05-17 21:00:00,30082,252.05,251.46,252.11,251.13
2022-05-17 22:00:00,2022-05-17 22:00:00,7927,251.46,251.54,252.06,251.37
2022-05-18 11:00:00,2022-05-18 11:00:00,9703,246.96,246.35,247.62,246.05
2022-05-18 12:00:00,2022-05-18 12:00:00,112342,246.33,246.01,247.3,245.62
2022-05-18 13:00:00,2022-05-18 13:00:00,2271839,245.95,247.17,248.43,243.71
2022-05-18 14:00:00,2022-05-18 14:00:00,2315133,247.08,248.16,251.02,245.9
2022-05-18 15:00:00,2022-05-18 15:00:00,1282500,248.11,240.4,248.11,240.12
2022-05-18 16:00:00,2022-05-18 16:00:00,2244630,240.37,237.86,240.7,235.12
2022-05-18 17:00:00,2022-05-18 17:00:00,1712821,237.81,232.8,237.86,231.7
2022-05-18 18:00:00,2022-05-18 18:00:00,1868848,232.82,232.6,234.13,231.27
2022-05-18 19:00:00,2022-05-18 19:00:00,2855273,232.54,234.22,235.84,232.0
2022-05-18 20:00:00,2022-05-18 20:00:00,2075994,234.22,233.87,234.5,232.79
2022-05-18 21:00:00,2022-05-18 21:00:00,28645,233.81,233.64,233.9,232.9
