,Time,Volume,Open,Close,High,Low
0,2022-05-17 18:00:00,1937153,148.55,149.1,149.33,147.31
1,2022-05-17 19:00:00,2661624,149.11,149.24,149.77,148.8
2,2022-05-17 20:00:00,6402514,149.31,149.33,149.38,149.09
3,2022-05-17 21:00:00,5965,149.33,149.35,149.4,149.28
4,2022-05-17 22:00:00,11602,149.4,149.56,149.6,149.35
5,2022-05-18 11:00:00,3229,147.47,147.54,147.72,147.43
6,2022-05-18 12:00:00,56340,147.59,146.82,147.9,146.75
7,2022-05-18 13:00:00,2180866,146.86,145.9,147.36,145.78
8,2022-05-18 14:00:00,2004236,145.89,145.42,146.6,144.83
9,2022-05-18 15:00:00,1346693,145.42,142.78,145.42,142.76
10,2022-05-18 16:00:00,1488714,142.76,143.56,143.69,142.14
11,2022-05-18 17:00:00,1742636,143.55,141.73,143.57,141.36
12,2022-05-18 18:00:00,2470758,141.73,140.1,141.94,139.94
13,2022-05-18 19:00:00,5538815,140.11,140.82,141.19,140.08
14,2022-05-18 20:00:00,11063328,140.83,140.9,141.16,140.17
15,2022-05-18 21:00:00,16987,140.9,140.91,140.97,140.68
16,2022-05-18 22:00:00,17158,140.91,141.02,141.2,140.8
17,2022-05-19 11:00:00,1523,140.18,140.39,140.46,139.86
18,2022-05-19 12:00:00,96704,140.35,139.99,140.36,139.33
19,2022-05-19 13:00:00,5055566,139.99,139.47,141.66,138.7
20,2022-05-19 14:00:00,4014342,139.48,138.73,141.03,137.83
21,2022-05-19 15:00:00,2871069,138.73,139.43,140.4,137.99
22,2022-05-19 16:00:00,2103079,139.44,138.1,140.03,137.8
23,2022-05-19 17:00:00,2505894,138.1,137.81,138.45,136.6
24,2022-05-19 18:00:00,1884579,137.81,138.8,139.15,136.98
25,2022-05-19 19:00:00,4324964,138.8,137.34,139.4,136.66
26,2022-05-19 20:00:00,5262557,137.33,137.81,137.95,137.12
27,2022-05-19 21:00:00,7234,137.8,137.77,137.86,137.5
28,2022-05-19 22:00:00,7981,137.79,137.83,138.0,137.68
29,2022-05-20 11:00:00,10430,138.9,139.61,139.99,137.2
30,2022-05-20 12:00:00,106915,139.6,139.24,139.67,138.99
31,2022-05-20 13:00:00,5270021,139.2,139.86,140.35,138.07
32,2022-05-20 14:00:00,2330871,139.87,137.2,140.48,137.06
33,2022-05-20 15:00:00,1842754,137.2,136.77,137.47,136.33
34,2022-05-20 16:00:00,3579053,136.77,134.35,136.88,133.6
35,2022-05-20 17:00:00,2658537,134.34,134.14,134.45,132.61
36,2022-05-20 18:00:00,1711133,134.15,134.37,134.94,133.4
37,2022-05-20 19:00:00,5233987,134.37,137.63,137.88,133.76
38,2022-05-20 20:00:00,7724408,137.59,137.28,137.9,137.0
39,2022-05-20 21:00:00,43451,137.25,137.35,137.45,136.95
40,2022-05-20 22:00:00,5560,137.35,137.21,137.37,137.21
41,2022-05-21 07:00:00,13,137.09,137.01,137.52,137.01
42,2022-05-23 11:00:00,2540,138.54,138.32,138.55,137.93
43,2022-05-23 12:00:00,95050,138.37,137.93,138.82,137.82
44,2022-05-23 13:00:00,3873136,137.93,139.8,141.03,137.51
45,2022-05-23 14:00:00,3235552,139.8,140.45,141.68,138.69
46,2022-05-23 15:00:00,2266178,140.49,141.98,142.08,140.26
47,2022-05-23 16:00:00,3124635,141.99,142.39,143.26,141.82
48,2022-05-23 17:00:00,1332501,142.39,142.65,142.86,141.52
49,2022-05-23 18:00:00,1110910,142.65,142.23,142.91,142.08
50,2022-05-23 19:00:00,3604286,142.22,143.15,143.25,141.9
51,2022-05-23 20:00:00,6500519,143.14,143.32,143.44,143.06
52,2022-05-23 21:00:00,125915,143.27,141.0,143.3,140.66
53,2022-05-23 22:00:00,33880,141.0,141.1,141.1,140.5
54,2022-05-24 11:00:00,765,141.41,140.96,141.45,140.94
55,2022-05-24 12:00:00,71699,141.01,141.26,141.45,140.72
56,2022-05-24 13:00:00,3014797,141.22,139.33,141.97,139.23
57,2022-05-24 14:00:00,3059543,139.33,138.17,139.34,137.33
58,2022-05-24 15:00:00,1631566,138.17,139.17,139.56,137.86
59,2022-05-24 16:00:00,1364193,139.17,139.12,140.26,138.52
60,2022-05-24 17:00:00,1067927,139.11,139.31,139.7,138.15
